"code";"number_of_mentions";"idea";"description";"best_quote"
"1.1.a";6;"App crashes / freezes";"Додаток зависає, фрізиться або крашиться під час використання, що перериває сесію.";"Sometimes glitches, it froze, it kicked me out of chats and the worst of all, sometimes it keeps loading and doesn't allow me to access my chats."
"1.1.b";7;"Connection drops during session";"З'єднання обривається посеред активної розмови з радником.";"When the connection drops out when it's my turn to chat and I can't answer my advisor."
"1.1.c";13;"Queue / Chat Next bugs";"Функція черги працює непередбачувано: неточний таймер, втрата місця, невідповідність статусів.";"I can't stand it when you say 4 minutes and it counts down to 1 minute. I have waited an hour after that 2 minutes before anyone came online."
"1.1.d";10;"Message delivery failures / typing lag";"Повідомлення не доставляються або доставляються із затримкою 2-3 хвилини. Лаг при наборі тексту.";"Messages getting longer to be delivered, 2-3 minutes. Tech issue interruption, unnecessary credit deductions."
"1.1.e";2;"Auto-logout mid-session";"Автоматичний вихід із сесії посеред розмови без дії користувача.";"The psychic got logged out by the app in the middle of a reading."
"1.1.f";2;"Multi-window / app-switch closes chat";"Перехід в інший додаток або мультивіконний режим закриває активний чат.";"Having the app in multi window on phone and the chat closing."
"1.1.g";5;"Notification system not working";"Сповіщення про доступність радника не приходять або приходять із запізненням.";"The notification alert never works and I reported it. Sometimes the advisor will be in the room the minute the text notification is sent, and even if I get there in less than 1 minute, they have already been pulled into another chat."
"1.1.h";13;"Credits deducted without connection";"Кредити списуються, хоча з'єднання не було встановлено або обірвалось через баг.";"Chat had many glitches where the line up to chat for an astrologer would take funds from the account even though the chat was not connected."
"1.1.i";11;"General / unspecified glitches";"Загальні технічні проблеми без конкретної деталізації.";"The app has a lot of technical issues and eating up credits when I wasn't connected."
"1.2.a";13;"Copy-paste functionality";"Неможливо копіювати та вставляти текст у чаті — ні з інших додатків, ні всередині Nebula.";"I got dyslexia and sometimes I write a message on my phone and want to copy and paste it and you're not allowed to. I have to rewrite the message."
"1.2.b";4;"Search / pin / star / bookmark messages";"Немає можливості зберегти, закріпити або знайти конкретне повідомлення у старих чатах.";"I've always wished for an easy way to search and pin old messages. Sometimes you really need to revisit past readings, and having quicker access would make a huge difference."
"1.2.c";5;"Send photos / screenshots in chat";"Неможливо надіслати фото або скріншот раднику під час сесії.";"It would be great if you could send photos. I have wished I could send screenshots of conversations to the psychic I am speaking to."
"1.2.d";2;"Voice messages / voice input";"Бажання надсилати голосові повідомлення або використовувати голосовий ввід замість набору тексту.";"Voice message would be very good."
"1.2.e";1;"Download / export chat history";"Неможливо завантажити або експортувати вміст чату для збереження.";"A feature I'd like to see is the ability to download the content of a chat."
"1.2.f";3;"Search advisor by name";"Немає пошуку за ім'ям — треба прокручувати весь список радників.";"It would be great if you could search a psychic easily by name. Now you have to scroll so many and can only see them if online and not in chat."
"1.2.g";3;"Booking / scheduling system";"Неможливо забронювати конкретний час із радником — лише 'хто перший, той і зайняв'.";"It would be really amazing if a booking system feature existed — then I KNOW I actually have a session rather than 'maybe'."
"1.2.h";1;"Out-of-office / availability status";"Немає інформації про те, коли улюблений радник буде відсутній або доступний.";"Would it be a thing to consider like an 'out of office' for your astrologers? When you have a favorite person who's guiding you, it might be helpful."
"1.2.i";5;"User profile picture";"Користувачі хочуть мати можливість додати власне фото профілю, як це є у радників.";"I want to add a profile picture for myself. We can see our psychic's face, wish they could see ours."
"1.2.j";1;"Rating system post-session";"Бажання оцінити радника після завершення сесії.";"Is there still a way to rate a psychic after the reading is done on the profile?"
"1.2.k";1;"Accessibility (font size, colors, display)";"Проблеми з візуальним відображенням для людей із порушеннями зору.";"The visual display doesn't work the best with my eyesight disorder. The colors on the screen and the letter size make things difficult."
"1.2.l";1;"Send messages without entering queue";"Бажання надіслати просте повідомлення раднику без необхідності ставати в чергу.";"You could also allow sending simple messages instead of putting in queue, as time to time I only want to send a message or reply to theirs."
"1.2.m";1;"Merge accounts";"Потреба об'єднати два акаунти в один.";"I would like to merge my accounts."
"1.2.n";1;"Session reservation (brief leave)";"Можливість тимчасово вийти з додатку на хвилину без втрати сесії.";"I left the app for a moment to google the meaning of a word she had used, but as soon as I returned she was allocated to a different consultation."
"1.2.o";1;"Audio calls improvements (duration, availability)";"Покращення аудіодзвінків: збільшення тривалості, доступність для всіх радників.";"I tried audiocalls, it was good but wish they could last longer."
"1.3.a";5;"Show credit / time balance during session";"Немає відображення залишку кредитів або часу під час активної сесії.";"When I chat to a psychic, I find it annoying when I can't see how much credit I have left in the chat window."
"1.3.b";2;"Warning before session ends / abrupt cutoff";"Чат обривається раптово без попередження, коли закінчуються кредити.";"I hate the way the chat just abruptly interrupts the meeting without warning. There's no clock to show the balance of minutes. It just cuts you off."
"1.3.c";1;"Timer perceived as too fast / unfair";"Користувачі відчувають, що таймер рахує швидше, ніж має, або кредити витрачаються занадто швидко.";"It's very very expensive and the timer is questionable (the minutes are counted down too fast sometimes, you feel a bit cheated)."
"1.3.d";2;"Credit pricing display inconsistency";"Відображена вартість за хвилину не відповідає фактичному списанню кредитів.";"There are issues with the listing of certain psychic's cost credit per minute. Some are listed as 30 credits but you burn through credits in no time."
"1.3.e";2;"Refill UX (default amount, pushy prompts)";"При поповненні кредитів система нав'язує дефолтну суму замість вибору.";"When you run low on credits, it always defaults to your last payment amount. It would be helpful if it let me choose."
"2.1.a";23;"Slow replies (3-5+ min between messages)";"Радники відповідають занадто повільно — 3-5+ хвилин між повідомленнями, кредити горять на очікуванні.";"Some of them take more than 3-4 mins to reply. Sometimes advisors don't give direct answers and try to extend the time as much as possible."
"2.1.b";8;"Short / one-word / superficial answers";"Радники дають одно-двослівні або дуже поверхневі відповіді, що не виправдовує витрачені кредити.";"The answer after long time like yes and no without further more information."
"2.1.c";10;"Not answering user's questions / off topic";"Радник не відповідає на конкретне питання, відхиляється від теми або перепитує те, що вже було сказано.";"Readers don't read my intentionally clarified needs and my questions clearly at all and keep giving wrong and unreliable answers."
"2.1.d";3;"Not finishing answer when credits run out";"Радник бачить, що кредити закінчуються, і не завершує відповідь, залишаючи користувача без відповіді.";"When my time is running out, you can see the counselor typing but won't send the response because the money has run out. Why can't they just finish the last question?"
"2.1.e";10;"Deliberately extending time / wasting credits";"Відчуття, що радник навмисно затягує час або задає зайві питання, щоб спалити більше кредитів.";"Sometimes advisors don't give direct answers and try to extend the time as much as possible."
"2.2.a";24;"Inaccurate predictions / didn't come true";"Прогнози та передбачення не збулися — вказані дати та події не відбулися.";"None of the predictions worked out. I was always waiting for something to happen and when it didn't, some story was made."
"2.2.b";9;"Conflicting readings between advisors";"Різні радники дають протилежну інформацію щодо однієї й тієї ж ситуації.";"There's a lot of conflicting information and when things don't occur as predicted — an excuse."
"2.2.c";21;"Vague / generic / cryptic answers";"Відповіді занадто загальні, нечіткі або 'загадкові' — не дають конкретної корисної інформації.";"Very vague statement over and over. Not detailed."
"2.2.d";3;"Inconsistent within same reading / mixed signals";"Суперечливі сигнали всередині одного й того ж рідінгу від одного радника.";"I feel like the reader seems to be giving mixed signals. The reading seems inconsistent."
"2.3.a";10;"Language barrier / poor English";"Мовний бар'єр — радник погано володіє англійською, відповіді некогерентні або незрозумілі.";"I had one situation where the individual could not speak my native tongue English very well and the answers I got were not comprehensive nor coherent."
"2.3.b";5;"Rude / harsh / dismissive behavior";"Грубість, різкість або зневажливе ставлення з боку радника.";"When you tell an advisor they don't resonate and then get very rude."
"2.3.c";2;"Wrong names / factual errors about user";"Радник плутає імена користувача або людей, про яких йде мова.";"In the past a psychic or 2 calling me or the people involved in my readings by the wrong names."
"2.3.d";2;"Inappropriate terms of address (sweetie, honey)";"Використання недоречних пестливих звертань, які сприймаються як неприродні та дешеві.";"The psychics should stop using words like 'sweetie, sweetheart, darling, honey' — it feels cheap and very disingenuous."
"2.3.e";3;"Disingenuous / commercial automated messages";"Автоматичні промо-повідомлення від радників, які виглядають нещирими та однаковими у всіх.";"You can tell advisors are using auto prompt messages because they're often the same across advisors."
"2.4.a";9;"Suspected ChatGPT / AI-generated responses";"Користувач підозрює, що відповідає не людина, а ChatGPT або інший AI.";"I occasionally had a feeling that it was chatGPT answering not a real person."
"3.1.a";2;"Monthly subscription / unlimited plan";"Бажання фіксованої місячної підписки з необмеженим доступом замість покредитної оплати.";"I have an idea: an open membership I pay throughout the month and then I can access the psychic anytime I want without charge on every chat."
"3.1.b";1;"Reserved spot with favorite advisor";"Можливість зарезервувати регулярний слот із конкретним улюбленим радником.";"If you end up having a package where you can pick one psychic and reserve a spot with them weekly or monthly, I'd be so in!"
"3.1.c";1;"Tiered loyalty / cashback program";"Накопичувальна система лояльності: чим більше купуєш, тим більший кешбек або бонус.";"A tiered loyalty cashback system: after three purchases, cashback increases; after five, increases again; after ten, an enhanced reward."
"3.1.d";1;"Credit bonuses / promotions on holidays";"Бажання отримувати бонусні кредити або знижки під час свят.";"There could be opportunities to win credits on Holidays."
"3.2.a";2;"Custom top-up amounts";"Неможливо поповнити довільну суму — лише фіксовані пресети, що спричиняє множинні транзакції.";"Is there a way to refill credits with a custom amount rather than the presets? Banks don't like seeing the repeated transactions of the same amount and flag it."
"3.2.b";2;"Remove saved credit cards";"Неможливо видалити збережені банківські картки з акаунту.";"There must be a way to remove the extra credit cards on the account. I should be able to take out information I don't want on the file anymore."
"3.2.c";1;"Unauthorized charge / wrong card / wrong amount";"Списання з невірної картки або на невірну суму без підтвердження користувача.";"I just bought credits and specified the card I wanted to use, and then it bumped me up to $99.90 without my consent AGAIN and used my main account."
"3.2.d";1;"Auto-debit opt-out";"Бажання відключити автоматичне списання при поповненні кредитів.";"Auto Debit for top up my credit."
"3.3.a";1;"Track purchases vs CC charges";"Немає можливості переглянути історію покупок та звірити з виписками з картки.";"Being able to track conversation token totals and purchases... there is no place to double check against CC charges."
"3.3.b";4;"Too expensive / poor value perception";"Загальне відчуття, що сервіс занадто дорогий відносно отриманої цінності.";"It's very very expensive and the timer is questionable (the minutes are counted down too fast sometimes, you feel a bit cheated)."
"4.1.a";6;"Delete chats (not just archive)";"Можна лише архівувати чати, але не видалити їх назавжди.";"Why can't I completely delete chats I've had with some psychics? I can only archive them. I should have the option to permanently delete chats I don't want."
"4.1.b";4;"Delete / block unwanted advisors from list";"Неможливо прибрати небажаних радників зі списку контактів або заблокувати їх.";"Is there a way to delete the readers we never want to see in the selections."
"4.1.c";3;"Data privacy / confidentiality concerns";"Занепокоєння щодо конфіденційності особистих даних та чатів на платформі.";"I was never able to delete the Chats from the Account and they were read by someone else. A breach of very private Information."
"4.1.d";1;"Anonymous / private payment (Apple Pay)";"Бажання анонімної оплати без відображення на банківській виписці.";"Payment can be made by Apple so there's privacy with the bank."
"4.2.a";1;"Scare tactics / pressure to spend";"Радники використовують залякування та негатив, щоб мотивувати користувача витрачати більше.";"I've had a few bad experiences with advisors. Using scare tactics and negative messages to get me to chat and spend money."
"4.2.b";2;"False hope / misleading positivity";"Радник дає необґрунтовано позитивні прогнози, що не відповідають реальності.";"I suddenly received a lot of hope from someone, and that didn't feel right to me. I don't like being fooled."
"4.3.a";3;"Spam messages from advisors";"Небажані повідомлення від радників, з якими користувач більше не хоче спілкуватись.";"I have too many chats and psychics who keep writing to me and I am not interested. Even if they are archived they keep sending messages."
"4.3.b";2;"Unsolicited readings without consent";"Радник ініціює рідінг (витягує карти тощо) без згоди користувача.";"One kept messaging me and pulled out a tarot card without me saying yes to her doing it."
